paper_id,title,year,venue,source,query,doi,url,authors,abstract,topic,score_abstraction,score_physical,score_planning,score_world_model,hidden_assumptions,fixed_variables,failure_modes
doi:10.1002/adrr.202500072,Grounding Large Language Models for Robot Task Planning Using ClosedLoop State Feedback,2025,Advanced Robotics Research,crossref,latent state robot policy planning,10.1002/adrr.202500072,https://doi.org/10.1002/adrr.202500072,Vineet Bhat; Ali Umut Kaypak; Prashanth Krishnamurthy; Ramesh Karri; Farshad Khorrami,"Planning algorithms break complex problems into sequential steps for robots. Recent work employs Large Language Models (LLMs) to generate robot policies directly from natural language in simulation and realworld settings. Models such as GPT5 generalize to unseen tasks but often hallucinate because they lack sufficient environmental grounding; supplying state feedback improves robustness. We introduce a taskplanning method that uses two LLMs-one for highlevel planning and one for lowlevel control-thereby raising task success rates and goalcondition recall. Our algorithm, BrainBodyLLM, is inspired by the human neural system, dividing planning hierarchically across the two LLMs and closing the loop with feedback that learns from simulator errors to fix execution failures. Implemented with GPT5, BrainBodyLLM improves taskoriented success in the VirtualHome environment by 17% over competitive baselines. We also evaluate seven complex tasks in a realistic physics simulator and on a Franka Research 3 robotic arm, comparing our approach with other stateoftheart LLM planners. Results show that recent LLMs can use raw simulator or controller errors to revise plans, yielding more reliable robotic task execution. Project resources are available here .",planning,4,2,15,0,control actionability,task decomposition,long-horizon compounding error
doi:10.1007/s10846-024-02118-y,Deep Model-Based Reinforcement Learning for Predictive Control of Robotic Systems with Dense and Sparse Rewards,2024,Journal of Intelligent &amp; Robotic Systems,crossref,model-based reinforcement learning robot control,10.1007/s10846-024-02118-y,https://doi.org/10.1007/s10846-024-02118-y,Luka Antonyshyn; Sidney Givigi,"Abstract Sparse rewards and sample efficiency are open areas of research in the field of reinforcement learning. These problems are especially important when considering applications of reinforcement learning to robotics and other cyber-physical systems. This is so because in these domains many tasks are goal-based and naturally expressed with binary successes and failures, action spaces are large and continuous, and real interactions with the environment are limited. In this work, we propose Deep Value-and-Predictive-Model Control (DVPMC), a model-based predictive reinforcement learning algorithm for continuous control that uses system identification, value function approximation and sampling-based optimization to select actions. The algorithm is evaluated on a dense reward and a sparse reward task. We show that it can match the performance of a predictive control approach to the dense reward problem, and outperforms model-free and model-based learning algorithms on the sparse reward task on the metrics of sample efficiency and performance. We verify the performance of an agent trained in simulation using DVPMC on a real robot playing the reach-avoid game. Video of the experiment can be found here: https://youtu.be/0Q274kcfn4c .",physical,1,9,4,7,contact geometry; dynamics fidelity,variables discarded by abstraction,not explicit
doi:10.21203/rs.3.rs-3261017/v1,Tactile-GAT: Tactile Graph Attention Networks for Robot Tactile Perception Classification,2023,,crossref,tactile perception robot manipulation,10.21203/rs.3.rs-3261017/v1,https://doi.org/10.21203/rs.3.rs-3261017/v1,Lun Chen; Yingzhao Zhu,"Abstract As one of the most important senses in human beings, touch can also help robots better perceive and adapt to complex environmental information, improving their autonomous decision-making and execution capabilities. Compared to other perception methods, tactile perception needs to handle multi-channel tactile signals simultaneously, such as pressure, bending, temperature, and humidity. However, directly transferring deep learning algorithms that work well on temporal signals to tactile signal tasks does not make good use of the physical spatial connectivity information of tactile sensors. In this paper, we propose a tactile perception framework based on graph attention networks, which incorporates explicit and latent relation graphs. This framework can effectively utilize the structural information between different tactile signal channels. We constructed a tactile glove and collected a dataset of pressure and bending tactile signals during grasping and holding objects. And our method achieved 89.58% accuracy in object tactile signal classification with a small parameter size of 0.11M. Compared to existing time-series signal classification algorithms, our graph-based tactile perception algorithm can utilize and learn sensor spatial information, making it more suitable for processing multi-channel tactile data. Our method can serve as a general strategy to improve robot's tactile perception capabilities.",physical,2,17,1,1,state variables; contact geometry; domain shift,variables discarded by abstraction,distribution shift; aliasing / observability limits
doi:10.1155/2022/7169594,Improving Model-Based Deep Reinforcement Learning with Learning Degree Networks and Its Application in Robot Control,2022,Journal of Robotics,crossref,model-based reinforcement learning robot control,10.1155/2022/7169594,https://doi.org/10.1155/2022/7169594,Guoqing Ma; Zhifu Wang; Xianfeng Yuan; Fengyu Zhou,"Deep reinforcement learning is the technology of artificial neural networks in the field of decision-making and control. The traditional model-free reinforcement learning algorithm requires a large amount of environment interactive data to iterate the algorithm. This model's performance also suffers due to low utilization of training data, while the model-based reinforcement learning (MBRL) algorithm improves the efficiency of the data, MBRL locks into low prediction accuracy. Although MBRL can utilize the additional data generated by the dynamic model, a system dynamics model with low prediction accuracy will provide low-quality data and affect the algorithm's final result. In this paper, based on the A3C (Asynchronous Advantage Actor-Critic) algorithm, an improved model-based deep reinforcement learning algorithm using a learning degree network (MBRL-LDN) is presented. By comparing the differences between the predicted states outputted by the proposed multidynamic model and the original predicted states, the learning degree of the system dynamics model is calculated. The learning degree represents the quality of the data generated by the dynamic model and is used to decide whether to continue to interact with the dynamic model during a particular episode. Thus, low-quality data will be discarded. The superiority of the proposed method is verified by conducting extensive contrast experiments.",world_model,2,7,3,9,contact geometry; dynamics fidelity,not explicit,not explicit
doi:10.1177/1729881418770525,Motion planning with dynamics awareness for long reach manipulation in aerial robotic systems with two arms,2018,International Journal of Advanced Robotic Systems,crossref,robotic manipulation planning latent dynamics,10.1177/1729881418770525,https://doi.org/10.1177/1729881418770525,Alvaro Caballero; Manuel Bejar; Angel Rodriguez-Castao; Anibal Ollero,"Human activities in maintenance of industrial plants pose elevated risks as well as significant costs due to the required shutdowns of the facility. An aerial robotic system with two arms for long reach manipulation in cluttered environments is presented to alleviate these constraints. The system consists of a multirotor with a long bar extension that incorporates a lightweight dual arm in the tip. This configuration allows aerial manipulation tasks even in hard-to-reach places. The objective of this work is the development of planning strategies to move the aerial robotic system with two arms for long reach manipulation in a safe and efficient way for both navigation and manipulation tasks. The motion planning problem is addressed considering jointly the aerial platform and the dual arm in order to achieve wider operating conditions. Since there exists a strong dynamical coupling between the multirotor and the dual arm, safety in obstacle avoidance will be assured by introducing dynamics awareness in the operation of the planner. On the other hand, the limited maneuverability of the system emphasizes the importance of energy and time efficiency in the generated trajectories. Accordingly, an adapted version of the optimal Rapidly-exploring Random Tree algorithm has been employed to guarantee their optimality. The resulting motion planning strategy has been evaluated through simulation in two realistic industrial scenarios, a riveting application and a chimney repairing task. To this end, the dynamics of the aerial robotic system with two arms for long reach manipulation has been properly modeled, and a distributed control scheme has been derived to complete the test bed. The satisfactory results of the simulations are presented as a first validation of the proposed approach.",planning,0,7,11,3,contact geometry; control actionability; dynamics fidelity,not explicit,contact discontinuities; long-horizon compounding error
doi:10.1115/imece2017-72064,Gradient Optimization of Inverse Dynamics for Robotic Manipulator Motion Planning Using Combined Optimal Control,2017,"Volume 4B: Dynamics, Vibration, and Control",crossref,robotic manipulation planning latent dynamics,10.1115/imece2017-72064,https://doi.org/10.1115/imece2017-72064,Shangdong Gong; Redwan Alqasemi; Rajiv Dubey,"Motion planning of redundant manipulators is an active and widely studied area of research. The inverse kinematics problem can be solved using various optimization methods within the null space to avoid joint limits, obstacle constraints, as well as minimize the velocity or maximize the manipulability measure. However, the relation between the torques of the joints and their respective positions can complicate inverse dynamics of redundant systems. It also makes it challenging to optimize cost functions, such as total torque or kinematic energy. In addition, the functional gradient optimization techniques do not achieve an optimal solution for the goal configuration. We present a study on motion planning using optimal control as a pre-process to find optimal pose at the goal position based on the external forces and gravity compensation, and generate a trajectory with optimized torques using the gradient information of the torque function. As a result, we reach an optimal trajectory that can minimize the torque and takes dynamics into consideration. We demonstrate the motion planning for a planar 3-DOF redundant robotic arm and show the results of the optimized trajectory motion. In the simulation, the torque generated by an external force on the end-effector as well as by the motion of every link is made into an integral over the squared torque norm. This technique is expected to take the torque of every joint into consideration and generate better motion that maintains the torques or kinematic energy of the arm in the safe zone. In future work, the trajectories of the redundant manipulators will be optimized to generate more natural motion as in humanoid arm motion. Similar to the human motion strategy, the robot arm is expected to be able to lift weights held by hands, the configuration of the arm is changed along from the initial configuration to a goal configuration. Furthermore, along with weighted least norm (WLN) solutions, the optimization framework will be more adaptive to the dynamic environment. In this paper, we present the development of our methodology, a simulated test and discussion of the results.",planning,0,4,14,3,contact geometry; control actionability; dynamics fidelity,not explicit,contact discontinuities; long-horizon compounding error
doi:10.1609/icaps.v23i1.13567,An Approach for Efficient Planning of Robotic Manipulation Tasks,2013,Proceedings of the International Conference on Automated Planning and Scheduling,crossref,robotic manipulation planning latent dynamics,10.1609/icaps.v23i1.13567,https://doi.org/10.1609/icaps.v23i1.13567,Richard Dearden; Chris Burbridge,"Robot manipulation is a challenging task for planning as itinvolves a mixture of symbolic planning and geometric plan-ning. We would like to express goals and many action ef-fects symbolically, for example specifying a goal such as forall x, if x is a cup, then x should be on the tray, but to ac-complish this we may need to plan the geometry of fitting allthe cups on the tray and how to grasp, move and release thecups to achieve that geometry. In the ideal case, this couldbe accomplished by a fully hybrid planner that alternates be-tween geometric and symbolic reasoning to generate a solu-tion. However, in practice this is very complex, and the fullpower of this approach may only be required for a small sub-set of problems. Instead, we plan completely symbolically,and then attempt to generate a geometric plan by translatingthe symoblic predicates into geometric relationships. We thenexecute this plan in simulation, and if it fails, we backtrack,first in geometric space, and then if necessary in symbolic.We show that this approach, while not complete, solves anumber of challenging manipulation problems, and demon-strate it running on a robotic platform.",planning,5,4,12,0,state variables; contact geometry; control actionability,not explicit,contact discontinuities; long-horizon compounding error
doi:10.1108/ir-05-2018-0086,Model-based deep reinforcement learning with heuristic search for satellite attitude control,2019,Industrial Robot: the international journal of robotics research and application,crossref,model-based reinforcement learning robot control,10.1108/ir-05-2018-0086,https://doi.org/10.1108/ir-05-2018-0086,Ke Xu; Fengge Wu; Junsuo Zhao,"Purpose Recently, deep reinforcement learning is developing rapidly and shows its power to solve difficult problems such as robotics and game of GO. Meanwhile, satellite attitude control systems are still using classical control technics such as proportional - integral - derivative and slide mode control as major solutions, facing problems with adaptability and automation. Design/methodology/approach In this paper, an approach based on deep reinforcement learning is proposed to increase adaptability and autonomy of satellite control system. It is a model-based algorithm which could find solutions with fewer episodes of learning than model-free algorithms. Findings Simulation experiment shows that when classical control crashed, this approach could find solution and reach the target with hundreds times of explorations and learning. Originality/value This approach is a non-gradient method using heuristic search to optimize policy to avoid local optima. Compared with classical control technics, this approach does not need prior knowledge of satellite or its orbit, has the ability to adapt different kinds of situations with data learning and has the ability to adapt different kinds of satellite and different tasks through transfer learning.",physical,0,10,8,2,contact geometry; control actionability; domain shift,not explicit,distribution shift
doi:10.58837/chula.the.2012.1386,Transit signal priority control using reinforcement learning based on cell transmission model,,,crossref,model-based reinforcement learning robot control,10.58837/chula.the.2012.1386,https://doi.org/10.58837/chula.the.2012.1386,Pitipong Chanloha,"This dissertation is aimed at developing a new framework to control traffic signal light for the road network with recently introduced bus rapid transit (BRT) system. By applying the automated goal-directed learning and decision making called reinforcement learning (RL), the best possible traffic signal actions can be sought upon changes of network states as modelled by the signalised cell transmission model (CTM). There are three main original contributions in this dissertation. Firstly, the model combining CTM to capture the system dynamics together with the implementation of RL approach called Q learning has been introduced for an isolated intersection. Despite of such isolation constraint, a new external delay function has been proposed at the system boundary condition to capture the effects on the neighbourhood of that isolated intersection system. With the proper setting of red light delay as the RL reward function, reported results show that our proposed framework using RL and CTM in the macroscopic level can efficiently find the proper control solution that is close to the brute-forcely searched best periodic signal solution (BPSS). Secondly, the performance comparison of optimal traffic signal controls based on the derivation of theoretical M/M/1 and D/D/1 models and based on the RL approach has been evaluated. In particular, based on M/M/1 and D/D/1 queuing, the optimal split has been derived to minimise the mean waiting time of an intersection with two conflicting flows. The results confirm the validity in adopting the RL approach to control the traffic signal. Finally, an extension to a network of cascading interactions with BRT system has been proposed with simple uni-directional flows without turning movements. Motivated by the BRT system in Bangkok, the conventional signalised CTM has been generalised to cope with the preplanned space-usage priority of BRT over other non-priority vehicles by modelling explicitly the existence of BRT physical lane separator as well as the location of BRT stations. The delay function of both carried passengers on BRT and on other non-priority vehicles as well as waiting passengers at stations has been introduced. Based on the investigated scenarios, the deployment of BRT system with one lane deducted by the lane separator cannot reduce the total passenger delay in comparison with the comparable road and traffic condition before the BRT installation. However, with BRT, the passenger throughput can be greatly increased by up to 9-15\\% in the jamming conditions when at least 40\\% from the overall passengers choose the BRT for their journey. Moreover, our proposed method outperforms the conventional preemptive and differential priority control methods because of the improved awareness of signal switching cost. Based on all findings, the outstanding merit will entirely contribute towards to support the development of sustainable transportation systems.",physical,1,10,8,1,contact geometry; dynamics fidelity,not explicit,not explicit
doi:10.20944/preprints202511.1696.v1,Multi-Robot Collaborative Path Planning and Control Optimization Based on Deep Reinforcement Learning,2025,,crossref,offline robot learning planning control,10.20944/preprints202511.1696.v1,https://doi.org/10.20944/preprints202511.1696.v1,Liam Chen; David Martnez; Ayaka Nakamura; Liam O'Connor,"Coordinating the movement of multiple robots in dynamic environments poses major challenges in path conflict resolution and control synchronization. This study introduces a cooperative optimization method based on deep reinforcement learning (DRL), using the Deep Deterministic Policy Gradient (DDPG) algorithm combined with nonlinear model predictive control (NMPC). The framework enables decentralized path planning and motion control without relying on global environment information. Experiments conducted in a 2020 grid space involving 5 to 10 mobile robots show that the proposed method reduces the average convergence steps by 37%, lowers the path conflict rate to 2.3%, and improves task completion time by approximately 21% compared to a hybrid A*-PSO strategy. The NMPC layer ensures minimal trajectory tracking error and improved robustness under varying motion disturbances. These findings demonstrate the potential of DRL-based control policies to support reliable, efficient coordination in multi-robot systems operating under uncertainty.",planning,0,7,11,1,contact geometry; control actionability; dynamics fidelity,not explicit,long-horizon compounding error
doi:10.3389/frobt.2022.762051,Exploratory State Representation Learning,2022,Frontiers in Robotics and AI,crossref,robot representation learning control,10.3389/frobt.2022.762051,https://doi.org/10.3389/frobt.2022.762051,Astrid Merckling; Nicolas Perrin-Gilbert; Alex Coninx; Stphane Doncieux,"Not having access to compact and meaningful representations is known to significantly increase the complexity of reinforcement learning (RL). For this reason, it can be useful to perform state representation learning (SRL) before tackling RL tasks. However, obtaining a good state representation can only be done if a large diversity of transitions is observed, which can require a difficult exploration, especially if the environment is initially reward-free. To solve the problems of exploration and SRL in parallel, we propose a new approach called XSRL (eXploratory State Representation Learning). On one hand, it jointly learns compact state representations and a state transition estimator which is used to remove unexploitable information from the representations. On the other hand, it continuously trains an inverse model, and adds to the prediction error of this model a k -step learning progress bonus to form the maximization objective of a discovery policy. This results in a policy that seeks complex transitions from which the trained models can effectively learn. Our experimental results show that the approach leads to efficient exploration in challenging environments with image observations, and to state representations that significantly accelerate learning in RL tasks.",abstraction,15,1,2,1,state variables; contact geometry; perception quality; control actionability; dynamics fidelity,not explicit,aliasing / observability limits
doi:10.1007/s10514-020-09957-2,Decidability in robot manipulation planning,2020,Autonomous Robots,crossref,robot world model planning control manipulation,10.1007/s10514-020-09957-2,https://doi.org/10.1007/s10514-020-09957-2,Marilena Vendittelli; Andrea Cristofaro; Jean-Paul Laumond; Bud Mishra,"Abstract Consider the problem of planning collision-free motion of n objects movable through contact with a robot that can autonomously translate in the plane and that can move a maximum of $$m \le n$$ m  n objects simultaneously. This represents the abstract formulation of a general class of manipulation planning problems that are proven to be decidable in this paper. The tools used for proving decidability of this simplified manipulation planning problem are, in fact, general enough to handle the decidability problem for the wider class of systems characterized by a stratified configuration space. These include, e.g., problems of legged and multi-contact locomotion, bi-manual manipulation. In addition, the approach described does not restrict the dynamics of the manipulation system modeled.",planning,2,7,9,1,contact geometry; control actionability; dynamics fidelity,variables discarded by abstraction,contact discontinuities; long-horizon compounding error
doi:10.31776/rtcj.12305,VR-based two-arm anthropomorphic manipulation system control methods,2024,Robotics and Technical Cybernetics,crossref,state abstraction robotics control,10.31776/rtcj.12305,https://doi.org/10.31776/rtcj.12305,Iuliia Vidimina; Mihail Fikov; Viktor Varlashin; Dmitrii Popov,"VR-based two-arm anthropomorphic manipulation system control methods are considered to solve tasks in small-size spaces, considering factors reducing control efficiency. Methods for developing an intuitive user interface and control methods are described considering time delays, the probability of collisions and self-intersections, and dis-crepancy between the actions of the operator and the manipulation system. The best ways to control a two-arm anthropomorphic manipulation system are identified. A concept for such two-arm anthropomorphic manipulation system control method based on developing an intuitive user interface with predictive visual feedback and assis-tive vibration feedback is proposed.",physical,0,11,6,1,contact geometry; dynamics fidelity,not explicit,contact discontinuities
doi:10.31219/osf.io/t9df3,Deformation Planning for Robotic Soft Tissue Manipulation,2023,,crossref,robotic manipulation planning latent dynamics,10.31219/osf.io/t9df3,https://doi.org/10.31219/osf.io/t9df3,anjaliravi,"In this study, a model-based method for planning soft tissue deformation is presented. Robot manipulators that are controlled in position cause boundary displacements that cause the deformable item to be moved. Control points defined on the deformable object converge to the intended positions as a result of the boundaries being manoeuvred. The suggested control is based on a Jacobian transformation between the set of altered point displacements and the control point displacements, which were calculated using a meshless model of the deformable object. RKPM is used in this work since it has been shown to accurately manage significant deformations and doesn't necessitate re- meshing methods. Simulations demonstrate that a model with a coarse particle grid is capable of generating Jacobian transforms that precisely control a more complex and physically realistic model. The following stage involves doing a physical investigation of a tissue phantom interacting with a dual arm manipulator.",planning,0,8,9,1,contact geometry; control actionability,not explicit,contact discontinuities; long-horizon compounding error
doi:10.18196/jrc.v3i4.15667,Robust Flux and Speed State Observer Design for Sensorless Control of a Double Star Induction Motor,2022,Journal of Robotics and Control (JRC),crossref,state abstraction robotics control,10.18196/jrc.v3i4.15667,https://doi.org/10.18196/jrc.v3i4.15667,Mahmoud A. Mossa; Houari Khouidmi; Alfian Ma'arif,"In this paper, a robust flux and speed observer for sensorless control of a double star induction motor is presented. Proper operation of vector control of the double star induction motor requires reliable information from the process to be controlled. This information can come from mechanical sensors (rotational speed, angular position). Furthermore, mechanical flux and speed sensors are generally expensive and fragile and affect the reliability of the system. However, the control without sensors must-have performance that does not deviate too much from that which we would have had with a mechanical sensor. In this framework, this work mainly deals with the estimation of the flux and speed using a robust state observer in view of sensorless vector control of the double star induction motor. The evaluation criteria are the static and dynamic performances of the system as well as the errors between the reference values and those estimated. Extensive simulation results and robustness tests are presented to evaluate the performance of the proposed sensorless control scheme. Furthermore, under the same test conditions, a detailed comparison between the proposed state observer and the sliding mode-MRAS technique is carried out where the results of its evaluation are investigated in terms of their speed and flux tracking capability during load and speed transients and also with parameter variation. It is worth mentioning that the proposed state observer can obtain both high current quality and low torque ripples, which show better performance than that in the MRAS system.",physical,4,7,7,0,not explicit,not explicit,not explicit
doi:10.70675/348e6014z4694z4647za34ezedae593688e5,Vision-based robotic manipulation of deformable linear objects,,,crossref,robotic manipulation planning latent dynamics,10.70675/348e6014z4694z4647za34ezedae593688e5,https://doi.org/10.70675/348e6014z4694z4647za34ezedae593688e5,Jihong Zhu,"Manipulation robotique d'objets linaires dformables base sur la vision En robotique, la manipulation d'objets dformables reoit moins d'attention que celle d'objets rigides. Pourtant, de nombreux objets dans la vie relle sont dformables. La recherche sur la manipulation d'objets dformables est indispensable pour doter les robots d'une dextrit de manipulation totale. La difficult majeure de ce problme est que dformation de l'objet a un espace de configurations de dimensions infinie, tandis que les entres du robots sont limites. Dans le cadre de VERSATILE, un projet H2020 ax sur l'automatisation industrielle  l'aide de robots, nous avons ax nos recherches sur la manipulation d'objets dformables linaires (cbles) par retour visuel.Une caractristique de la manipulation des objets dformables est que la forme de l'objet change pendant la manipulation. Par consquent, un problme important consiste  contrler la forme de l'objet pendant la manipulation. Nous avons abord le problme du contrle de forme en exploitant le retour visuel.Dans un premier temps, nous avons reprsent la forme de l'objet avec une srie de Fourier. Nous estimons et mettons  jour la matrice d'interaction en ligne, puis nous concevons le contrleur pour contrler la forme.Ensuite, au lieu d'utiliser une caractristique dfinie par l'humain pour le paramtrage, nous avons laiss le robot apprendre automatiquement les vecteurs de caractristiques  partir des donnes visuelles. Nous proposons une mthode qui permet au robot de gnrer simultanment - et  partir des mmes donnes - un vecteur de caractristiques ainsi que la matrice d'interaction. Cette mthode ncessite un minimum de donnes pour l'initialisation. L'apprentissage et le contrle peuvent tre effectus en ligne de manire adaptative. Nous pouvons appliquer la mme mthode  la manipulation d'objets rigides, directement et sans modification.Ces deux travaux ne requirent aucune calibration de la camra et ont t valids avec des exprimentations de robotique relle.Un autre domaine d'importance dans la manipulation d'objets dformables est l'utilisation de contacts externes pour contrler la forme de l'objet. Les contacts externes peuvent et doivent tre utiliss pour la manipulation d'objets dformables. Nous considrons un scnario frquent dans l'industrie - l'acheminement de cbles avec des contacts externes comme processus  automatiser avec notre robot. Nous proposons un algorithme de planification qui permet au robot d'utiliser des contacts pour dformer le cble et pour obtenir la configuration souhaite. Des expriences robotiques relles avec diffrents scnarios de placement de contacts permettent de valider nos algorithmes.",physical,0,17,1,0,contact geometry; perception quality,not explicit,contact discontinuities
doi:10.21203/rs.3.rs-3117846/v1,Reinforcement Learning with Decoupled State Representation for Robot Manipulations,2023,,crossref,robot representation learning control,10.21203/rs.3.rs-3117846/v1,https://doi.org/10.21203/rs.3.rs-3117846/v1,Kun Dong; Yongle Luo; Yuxin Wang; Erkang Cheng; Zhiyong Sun; Qiang Zhang; Song Bo,"Abstract Deep reinforcement learning (DRL) has advanced robot manipulations with an alternative solution to design a control strategy using the raw image as the input directly. Although the image usually comes up with more knowledge about the environment, it needs the policy to achieve representation learning and task learning simultaneously, which is a sample inefficient task. Previous attempts, such as Variational Autoencoder (VAE) based DRL algorithms have attempted to solve this problem by learning a visual representation model, which encodes the entire image into a low-dimension vector. However, since the vector contains both the robot and object information, the coupling within the state is inevitable, which could mislead the training process of DRL policy. In this study, a novel method named Reinforcement Learning with Decoupled State Representation (RLDS) is proposed to decouple the robot and object information to increase the learning efficiency and effectiveness. The experimental results have shown that the proposed method has a faster learning speed and can achieve better performance compared with previous methods in several typical robot tasks. Additionally, with only 3,096 offline images, the proposed method can be successfully applied to a real robot pushing task, which demonstrates its high practicability.",abstraction,8,6,3,0,state variables; contact geometry; perception quality; control actionability,variables discarded by abstraction; dataset support,contact discontinuities; aliasing / observability limits
doi:10.3390/app13010154,Model Predictive Control of Quadruped Robot Based on Reinforcement Learning,2022,Applied Sciences,crossref,model-based reinforcement learning robot control,10.3390/app13010154,https://doi.org/10.3390/app13010154,Zhitong Zhang; Xu Chang; Hongxu Ma; Honglei An; Lin Lang,"For the locomotion control of a legged robot, both model predictive control (MPC) and reinforcement learning (RL) demonstrate powerful capabilities. MPC transfers the high-level task to the lower-level joint control based on the understanding of the robot and environment, model-free RL learns how to work through trial and error, and has the ability to evolve based on historical data. In this work, we proposed a novel framework to integrate the advantages of MPC and RL, we learned a policy for automatically choosing parameters for MPC. Unlike the end-to-end RL applications for control, our method does not need massive sampling data for training. Compared with the fixed parameters MPC, the learned MPC exhibits better locomotion performance and stability. The presented framework provides a new choice for improving the performance of traditional control.",physical,0,8,7,2,contact geometry; control actionability; domain shift; dynamics fidelity,not explicit,distribution shift
doi:10.3390/app152211941,"Hierarchical Optimization of Robotic Placement, Motion Planning, and Posture for Multi-Target Manipulation",2025,Applied Sciences,crossref,robotic manipulation planning latent dynamics,10.3390/app152211941,https://doi.org/10.3390/app152211941,Md. Kaimujjaman; Tatsushi Nishi; Tomofumi Fujiwara,"Efficient operation of robotic manipulators in constrained workspaces requires careful coordination of robot placement, motion planning, and posture optimization. This paper presents a hierarchical optimization framework that addresses these challenges for robot placement, motion planning, and posture determination for multi-target manipulation tasks. Initially, the workspace layout is optimized using an adaptive genetic algorithm to determine robot placement that maximizes reachability and task efficiency. Subsequently, a surrogate-assisted rapidly-exploring random tree (SA-RRT) algorithm generates collision-free paths from the start to target configurations, leveraging machine learning models to reduce computational cost while preserving path quality. Finally, the robot's posture is optimized via a second genetic algorithm to achieve a single configuration that allows rapid access to all target positions. The effectiveness of the proposed framework was evaluated through extensive simulations in a Unity-based environment, comparing SA-RRT against the conventional target-biased nearest neighbor (TNN-RRT) algorithm. In particular, the proposed SA-RRT algorithm reduces path planning computation time by 76.17% compared to TNN-RRT and also yields lower path cost, demonstrating both efficiency and path quality improvement. Overall, the framework provides a unified methodology for integrating layout planning, motion planning, and posture optimization, facilitating more effective deployment of robotic manipulators in industrial environments.",planning,2,2,12,0,contact geometry; control actionability,task decomposition,contact discontinuities; long-horizon compounding error
doi:10.3389/frobt.2024.1460589,Validations of various in-hand object manipulation strategies employing a novel tactile sensor developed for an under-actuated robot hand,2024,Frontiers in Robotics and AI,crossref,tactile perception robot manipulation,10.3389/frobt.2024.1460589,https://doi.org/10.3389/frobt.2024.1460589,Avinash Singh; Massimilano Pinto; Petros Kaltsas; Salvatore Pirozzi; Shifa Sulaiman; Fanny Ficuciello,"Prisma Hand II is an under-actuated prosthetic hand developed at the University of Naples, Federico II to study in-hand manipulations during grasping activities. 3 motors equipped on the robotic hand drive 19 joints using elastic tendons. The operations of the hand are achieved by combining tactile hand sensing with under-actuation capabilities. The hand has the potential to be employed in both industrial and prosthetic applications due to its dexterous motion capabilities. However, currently there are no commercially available tactile sensors with compatible dimensions suitable for the prosthetic hand. Hence, in this work, we develop a novel tactile sensor designed based on an opto-electronic technology for the Prisma Hand II. The optimised dimensions of the proposed sensor made it possible to be integrated with the fingertips of the prosthetic hand. The output voltage obtained from the novel tactile sensor is used to determine optimum grasping forces and torques during in-hand manipulation tasks employing Neural Networks (NNs). The grasping force values obtained using a Convolutional Neural Network (CNN) and an Artificial Neural Network (ANN) are compared based on Mean Square Error (MSE) values to find out a better training network for the tasks. The tactile sensing capabilities of the proposed novel sensing method are presented and compared in simulation studies and experimental validations using various hand manipulation tasks. The developed tactile sensor is found to be showcasing a better performance compared to previous version of the sensor used in the hand.",physical,0,16,0,0,contact geometry,not explicit,contact discontinuities
doi:10.1017/s0263574707003736,LMS robotic hand grasp and manipulation planning (an isomorphic exoskeleton approach),2008,Robotica,crossref,robotic manipulation planning latent dynamics,10.1017/s0263574707003736,https://doi.org/10.1017/s0263574707003736,D. Chaigneau; M. Arsicault; J.-P. Gazeau; S. Zeghloul,"SUMMARY In order to widen the potentialities of manipulation of the Laboratoire de Mcanique des solides (LMS) mechanical hand, we developed a new planning approach based on the use of a specific exoskeleton. This one has kinematics architecture and dimensions identical to the mechanical hand. This feature allows us to obtain manipulation trajectories for the mechanical hand, very easily and very quickly, by using the exoskeleton, without complex calibration. Manipulation's trajectories are replayed offline with an autonomous control, and, consequently, the exoskeleton is not used with any feedback strategy for telemanipulation. This paper presents the characteristics of this exoskeleton and the graphic interface that we developed. This one uses a method to determine the object's evolution during the manipulation with the exoskeleton, without using exteroceptive sensors. This new approach was tested for standard trajectories by simulation on a Computer-aided design (CAD) robotics system and by using the mechanical hand. Thus, we validate the use concept of an isomorphic exoskeleton to mechanical hand for manipulation planning with the LMS mechanical hand.",physical,0,9,7,0,contact geometry; control actionability,dataset support,contact discontinuities; long-horizon compounding error
