hidden_variable,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
contact_mode,16848,0.5816566870356465,0.7109173918470404,0.3331864110335729,0.20352120624203637,0.2002812845158721,0.15470533336463413,0.6245538310363212,0.09259915907589565,0.6681289548169972,0.1987810456979265,0.27652322234959414,0.26162821665812563,0.71454845779957
friction,16848,0.5925145445044696,0.719195907996744,0.3221665719273504,0.1978030371389603,0.1957232740721687,0.15112772805231928,0.6181267599666785,0.0903725311413867,0.66921556795221,0.20069248614956461,0.278001024612854,0.2500305214263838,0.7111693107975846
surface_anisotropy,16848,0.5965474230593519,0.7214880478686291,0.3176808365374497,0.19528834145598326,0.19287764401079047,0.1490356595262621,0.6263945947773816,0.08882056676763807,0.6689014888552511,0.19571037904308328,0.2751308751278873,0.24285792850576413,0.7214852759236936
compliance,16848,0.6142552781610953,0.7356956748454444,0.2986948087366419,0.18549368677843273,0.18686270082289064,0.14506251661136496,0.5991462117138733,0.08648398730413713,0.6727217942637268,0.1918718871097988,0.2735845521724283,0.2275057682681743,0.664347708906344
payload,16848,0.6199625951238797,0.7397620274966292,0.29295062977092046,0.1825488928887213,0.18407291705696505,0.14275187197524888,0.599809246063863,0.08502461142339669,0.6724099349618369,0.19412733140442917,0.27484176053583853,0.2203850381918411,0.6719448615506154
local_geometry,16848,0.6858587570270184,0.7916421219071693,0.22088032557261358,0.1462529296870931,0.15963444613930516,0.12495875211035874,0.5079159690609022,0.07772992355051613,0.6849681150554139,0.196329554055762,0.2783724965318373,0.1581615559617477,0.47235066525921354
grasp_affordance,16848,0.6891327752752507,0.7939144488696421,0.21746721374084757,0.14439649953394762,0.15804379553215994,0.12376295787757668,0.5080629089276147,0.07690157970414258,0.6854315216186588,0.19572650656312343,0.27819115468129885,0.15414091264656546,0.4716250572621686
cable_tension,16848,0.6974843223203827,0.8004761387012258,0.20766295778039356,0.13942106792279466,0.15486873020462738,0.12127861373820514,0.49510980032966595,0.07588879092492062,0.6881275300507186,0.19076532633410306,0.275947681011246,0.14606421264710284,0.4401565589081906
backlash,16848,0.7167580536517251,0.8149313025888603,0.187753911330758,0.12871825145601787,0.14677675752787336,0.11501142027317052,0.482903218545744,0.07228795298724812,0.6906668026013333,0.18507351739206165,0.2732261873362731,0.12554893488652907,0.4167843891456101
occlusion_depth,16848,0.7205785021896962,0.817522158713947,0.18252386862440295,0.12615891468955723,0.14493644097211977,0.1137415359678412,0.47861253250864616,0.07148423620935523,0.6916637082357319,0.18476625707123953,0.27326962578487923,0.12088964696855749,0.3993161386549197
fluid_fill,16848,0.7242453802956809,0.8201185781939958,0.1798162164368763,0.12441043102517858,0.14311266656989713,0.11196999423878297,0.48315376074212246,0.07037177582685462,0.6908208980077011,0.18196708146307053,0.2714534212402938,0.11626553325328944,0.4148387937270717
tactile_latency,16848,0.7260455905679766,0.821695904989752,0.17704100374167536,0.12325182349897408,0.1427757429203792,0.11213772996422361,0.4743515531639318,0.07056356654152111,0.6925044560346456,0.18395891685000573,0.2730056701897306,0.11539946263793897,0.3922494090638008
adhesion,16848,0.7333188484553802,0.8276794341160273,0.16981131838657884,0.11937833120725318,0.1402425017503028,0.1100298293905882,0.46515752694123563,0.06976111563414103,0.6936254457956096,0.18134675853249765,0.2716694940891029,0.10896626849891397,0.37701077347792694
support_stiffness,16848,0.7423681829501321,0.8344961755065068,0.1605848555564979,0.11448708744057291,0.13654803311248945,0.10719907638686868,0.4589780252440536,0.06812288342597206,0.6943648832945827,0.17960448552977448,0.270765854281078,0.09957643657725126,0.3653327425701351
